ISO	name	region_ar6_10
AFG	Afghanistan	Southern Asia
ALA	Åland Islands	Europe
ALB	Albania	Europe
DZA	Algeria	Africa
ASM	American Samoa	South-East Asia and developing Pacific
AND	Andorra	Europe
AGO	Angola	Africa
AIA	Anguilla	Latin America and Caribbean
ATG	Antigua and Barbuda	Latin America and Caribbean
ARG	Argentina	Latin America and Caribbean
ARM	Armenia	Eurasia
ABW	Aruba	Latin America and Caribbean
AUS	Australia	Asia-Pacific Developed
AUT	Austria	Europe
AZE	Azerbaijan	Eurasia
BHS	Bahamas, The	Latin America and Caribbean
BHR	Bahrain	Middle East
BGD	Bangladesh	Southern Asia
BRB	Barbados	Latin America and Caribbean
BLR	Belarus	Eurasia
BEL	Belgium	Europe
BLZ	Belize	Latin America and Caribbean
BEN	Benin	Africa
BMU	Bermuda	North America
BTN	Bhutan	Southern Asia
BOL	Bolivia	Latin America and Caribbean
BES	Bonaire, Sint Eustatius and Saba	Latin America and Caribbean
BIH	Bosnia and Herzegovina	Europe
BWA	Botswana	Africa
BVT	Bouvet Island	Latin America and Caribbean
BRA	Brazil	Latin America and Caribbean
IOT	British Indian Ocean Territory	Africa
VGB	British Virgin Islands	Latin America and Caribbean
BRN	Brunei Darussalam	South-East Asia and developing Pacific
BGR	Bulgaria	Europe
BFA	Burkina Faso	Africa
BDI	Burundi	Africa
CPV	Cabo Verde	Africa
KHM	Cambodia	South-East Asia and developing Pacific
CMR	Cameroon	Africa
CAN	Canada	North America
CYM	Cayman Islands	Latin America and Caribbean
CAF	Central African Republic	Africa
TCD	Chad	Africa
CHL	Chile	Latin America and Caribbean
CHN	China	Eastern Asia
CXR	Christmas Island	Asia-Pacific Developed
CCK	Cocos (Keeling) Islands	Asia-Pacific Developed
COL	Colombia	Latin America and Caribbean
COM	Comoros	Africa
COD	Congo, Dem. Rep.	Africa
COG	Congo, Rep.	Africa
COK	Cook Islands	South-East Asia and developing Pacific
CRI	Costa Rica	Latin America and Caribbean
CIV	Côte d'Ivoire	Africa
HRV	Croatia	Europe
CUB	Cuba	Latin America and Caribbean
CUW	Curaçao	Latin America and Caribbean
CYP	Cyprus	Europe
CZE	Czech Republic	Europe
DNK	Denmark	Europe
DJI	Djibouti	Africa
DMA	Dominica	Latin America and Caribbean
DOM	Dominican Republic	Latin America and Caribbean
ECU	Ecuador	Latin America and Caribbean
EGY	Egypt, Arab Rep.	Africa
SLV	El Salvador	Latin America and Caribbean
GNQ	Equatorial Guinea	Africa
ERI	Eritrea	Africa
EST	Estonia	Europe
ETH	Ethiopia	Africa
FLK	Falkland Islands (Malvinas)	Latin America and Caribbean
FRO	Faroe Islands	Europe
FJI	Fiji	South-East Asia and developing Pacific
FIN	Finland	Europe
FRA	France	Europe
GUF	French Guiana	Latin America and Caribbean
PYF	French Polynesia	South-East Asia and developing Pacific
ATF	French Southern Territories	Africa
GAB	Gabon	Africa
GMB	Gambia, The	Africa
GEO	Georgia	Eurasia
DEU	Germany	Europe
GHA	Ghana	Africa
GIB	Gibraltar	Europe
GRC	Greece	Europe
GRL	Greenland	North America
GRD	Grenada	Latin America and Caribbean
GLP	Guadeloupe	Latin America and Caribbean
GUM	Guam	South-East Asia and developing Pacific
GTM	Guatemala	Latin America and Caribbean
GGY	Guernsey	Europe
GIN	Guinea	Africa
GNB	Guinea-Bissau	Africa
GUY	Guyana	Latin America and Caribbean
HTI	Haiti	Latin America and Caribbean
HMD	Heard Island and McDonald Islands	Asia-Pacific Developed
VAT	Holy See	Europe
HND	Honduras	Latin America and Caribbean
HKG	Hong Kong SAR, China	Eastern Asia
HUN	Hungary	Europe
ISL	Iceland	Europe
IND	India	Southern Asia
IDN	Indonesia	South-East Asia and developing Pacific
IRN	Iran, Islamic Rep.	Middle East
IRQ	Iraq	Middle East
IRL	Ireland	Europe
IMN	Isle of Man	Europe
ISR	Israel	Middle East
ITA	Italy	Europe
JAM	Jamaica	Latin America and Caribbean
JPN	Japan	Asia-Pacific Developed
JEY	Jersey	Europe
JOR	Jordan	Middle East
KAZ	Kazakhstan	Eurasia
KEN	Kenya	Africa
KIR	Kiribati	South-East Asia and developing Pacific
PRK	Korea, Dem. People's Rep.	Eastern Asia
KOR	Korea, Rep.	Eastern Asia
KWT	Kuwait	Middle East
KGZ	Kyrgyz Republic	Eurasia
LAO	Lao PDR	South-East Asia and developing Pacific
LVA	Latvia	Europe
LBN	Lebanon	Middle East
LSO	Lesotho	Africa
LBR	Liberia	Africa
LBY	Libya	Africa
LIE	Liechtenstein	Europe
LTU	Lithuania	Europe
LUX	Luxembourg	Europe
MAC	Macao SAR, China	Eastern Asia
MKD	North Macedonia	Europe
MDG	Madagascar	Africa
MWI	Malawi	Africa
MYS	Malaysia	South-East Asia and developing Pacific
MDV	Maldives	Southern Asia
MLI	Mali	Africa
MLT	Malta	Europe
MHL	Marshall Islands	South-East Asia and developing Pacific
MTQ	Martinique	Latin America and Caribbean
MRT	Mauritania	Africa
MUS	Mauritius	Africa
MYT	Mayotte	Africa
MEX	Mexico	Latin America and Caribbean
FSM	Micronesia, Fed. Sts.	South-East Asia and developing Pacific
MDA	Moldova	Eurasia
MCO	Monaco	Europe
MNG	Mongolia	Eastern Asia
MNE	Montenegro	Europe
MSR	Montserrat	Latin America and Caribbean
MAR	Morocco	Africa
MOZ	Mozambique	Africa
MMR	Myanmar	South-East Asia and developing Pacific
NAM	Namibia	Africa
NRU	Nauru	South-East Asia and developing Pacific
NPL	Nepal	Southern Asia
NLD	Netherlands	Europe
NCL	New Caledonia	South-East Asia and developing Pacific
NZL	New Zealand	Asia-Pacific Developed
NIC	Nicaragua	Latin America and Caribbean
NER	Niger	Africa
NGA	Nigeria	Africa
NIU	Niue	South-East Asia and developing Pacific
NFK	Norfolk Island	Asia-Pacific Developed
MNP	Northern Mariana Islands	South-East Asia and developing Pacific
NOR	Norway	Europe
OMN	Oman	Middle East
PAK	Pakistan	Southern Asia
PLW	Palau	South-East Asia and developing Pacific
PAN	Panama	Latin America and Caribbean
