"GCAM_region_ID","resource","subresource","grade","available","extractioncost"
1,"coal","coal","grade 1",284,0.34
1,"coal","coal","grade 2",6851,0.37
1,"coal","coal","grade 3",9469,1.2
1,"coal","coal","grade 4",13456,1.7
1,"coal","coal","grade 5",18440,2
1,"coal","coal","grade 6",18440,2.3
1,"coal","coal","grade 7",0,2.6
1,"crude oil","crude oil","grade 1",297,0.5
1,"crude oil","crude oil","grade 2",262,0.55
1,"crude oil","crude oil","grade 3",504.5,0.92
1,"crude oil","crude oil","grade 4",374.5,1.3
1,"crude oil","crude oil","grade 5",236,2.1
1,"crude oil","crude oil","grade 6",343,2.7
1,"crude oil","crude oil","grade 7",0,3.5
1,"crude oil","unconventional oil","grade 1",4397,1.8
1,"crude oil","unconventional oil","grade 2",8594,3.3
1,"crude oil","unconventional oil","grade 3",2338.38,10.8
1,"crude oil","unconventional oil","grade 4",0,16.3
1,"natural gas","natural gas","grade 1",207,0.62
1,"natural gas","natural gas","grade 2",778,0.68
1,"natural gas","natural gas","grade 3",575,1.1
1,"natural gas","natural gas","grade 4",1431,1.7
1,"natural gas","natural gas","grade 5",716,3.1
1,"natural gas","natural gas","grade 6",1339,3.7
1,"natural gas","natural gas","grade 7",48254,6.5
1,"natural gas","natural gas","grade 8",0,16.6
2,"coal","coal","grade 1",0.0044881998371748,0.34
2,"coal","coal","grade 2",0.0848750647780021,0.37
2,"coal","coal","grade 3",0.0579458657549532,1.2
2,"coal","coal","grade 4",0.0822302327310955,1.7
2,"coal","coal","grade 5",0.112685874483353,2
2,"coal","coal","grade 6",0.112685874483353,2.3
2,"coal","coal","grade 7",0,2.6
2,"crude oil","crude oil","grade 1",3.75172295801059,0.5
2,"crude oil","crude oil","grade 2",3.99119463618148,0.55
2,"crude oil","crude oil","grade 3",6.84489880105123,0.92
2,"crude oil","crude oil","grade 4",7.86265343327751,1.3
2,"crude oil","crude oil","grade 5",7.8426974600966,2.1
2,"crude oil","crude oil","grade 6",25.9028531888178,2.7
2,"crude oil","crude oil","grade 7",0,3.5
2,"crude oil","unconventional oil","grade 1",10.0378545099964,1.8
2,"crude oil","unconventional oil","grade 2",19.616721636832,3.3
2,"crude oil","unconventional oil","grade 3",5.3378237064291,10.8
2,"crude oil","unconventional oil","grade 4",0,16.3
2,"natural gas","natural gas","grade 1",0.00154119304499352,0.62
2,"natural gas","natural gas","grade 2",0.00996638169095806,0.68
2,"natural gas","natural gas","grade 3",0.0172099890024276,1.1
2,"natural gas","natural gas","grade 4",0.0379647220083403,1.7
2,"natural gas","natural gas","grade 5",0.0367831406738452,3.1
2,"natural gas","natural gas","grade 6",0.0687885829082106,3.7
2,"natural gas","natural gas","grade 7",0.220185113028074,6.5
2,"natural gas","natural gas","grade 8",0,16.6
3,"coal","coal","grade 1",0.112484130492165,0.34
3,"coal","coal","grade 2",2.12715525341434,0.37
3,"coal","coal","grade 3",1.45225047046135,1.2
3,"coal","coal","grade 4",2.06086996223146,1.7
3,"coal","coal","grade 5",2.8241551334283,2
3,"coal","coal","grade 6",2.8241551334283,2.3
3,"coal","coal","grade 7",0,2.6
3,"crude oil","crude oil","grade 1",91.3724575785364,0.5
3,"crude oil","crude oil","grade 2",97.2047421048259,0.55
3,"crude oil","crude oil","grade 3",166.706132709776,0.92
3,"crude oil","crude oil","grade 4",191.493341946507,1.3
3,"crude oil","crude oil","grade 5",191.007318235983,2.1
3,"crude oil","crude oil","grade 6",630.85877626032,2.7
3,"crude oil","crude oil","grade 7",0,3.5
3,"crude oil","unconventional oil","grade 1",244.469926393637,1.8
3,"crude oil","unconventional oil","grade 2",477.761307445219,3.3
3,"crude oil","unconventional oil","grade 3",130.001622090994,10.8
3,"crude oil","unconventional oil","grade 4",0,16.3
3,"natural gas","natural gas","grade 1",24.0588002433594,0.62
3,"natural gas","natural gas","grade 2",155.580241573724,0.68
3,"natural gas","natural gas","grade 3",268.656602717513,1.1
3,"natural gas","natural gas","grade 4",592.648445994752,1.7
3,"natural gas","natural gas","grade 5",574.203365808177,3.1
3,"natural gas","natural gas","grade 6",1073.82445086194,3.7
3,"natural gas","natural gas","grade 7",3437.20059476794,6.5
3,"natural gas","natural gas","grade 8",0,16.6
4,"coal","coal","grade 1",2.19674335490213,0.34
4,"coal","coal","grade 2",41.5419859435956,0.37
4,"coal","coal","grade 3",28.3615258141828,1.2
4,"coal","coal","grade 4",40.2474764665997,1.7
4,"coal","coal","grade 5",55.153949232007,2
4,"coal","coal","grade 6",55.153949232007,2.3
4,"coal","coal","grade 7",0,2.6
4,"crude oil","crude oil","grade 1",21.5338968678889,0.5
4,"crude oil","crude oil","grade 2",22.9084009232861,0.55
4,"crude oil","crude oil","grade 3",39.2879075834356,0.92
4,"crude oil","crude oil","grade 4",45.1295498188736,1.3
4,"crude oil","crude oil","grade 5",45.0150078142572,2.1
4,"crude oil","crude oil","grade 6",148.675521992127,2.7
4,"crude oil","crude oil","grade 7",0,3.5
4,"crude oil","unconventional oil","grade 1",57.6146283220645,1.8
4,"crude oil","unconventional oil","grade 2",112.594790537951,3.3
4,"crude oil","unconventional oil","grade 3",30.6376953948028,10.8
4,"crude oil","unconventional oil","grade 4",0,16.3
4,"natural gas","natural gas","grade 1",0.716486974743699,0.62
4,"natural gas","natural gas","grade 2",4.63328243667592,0.68
4,"natural gas","natural gas","grade 3",8.00077121797131,1.1
4,"natural gas","natural gas","grade 4",17.6494624778531,1.7
4,"natural gas","natural gas","grade 5",17.1001557972163,3.1
4,"natural gas","natural gas","grade 6",31.9792019727271,3.7
4,"natural gas","natural gas","grade 7",102.362105791716,6.5
4,"natural gas","natural gas","grade 8",0,16.6
5,"coal","coal","grade 1",0.257685711941944,0.34
5,"coal","coal","grade 2",4.87302087404499,0.37
5,"coal","coal","grade 3",3.32690660239332,1.2
5,"coal","coal","grade 4",4.72117036522205,1.7
5,"coal","coal","grade 5",6.46975198197096,2
5,"coal","coal","grade 6",6.46975198197096,2.3
5,"coal","coal","grade 7",0,2.6
5,"crude oil","crude oil","grade 1",71.1948319566945,0.5
5,"crude oil","crude oil","grade 2",75.7391829326537,0.55
5,"crude oil","crude oil","grade 3",129.892698729501,0.92
5,"crude oil","crude oil","grade 4",149.206190377328,1.3
5,"crude oil","crude oil","grade 5",148.827494462665,2.1
5,"crude oil","crude oil","grade 6",491.547297232923,2.7
5,"crude oil","crude oil","grade 7",0,3.5
5,"crude oil","unconventional oil","grade 1",190.484045075624,1.8
5,"crude oil","unconventional oil","grade 2",372.258084113993,3.3
5,"crude oil","unconventional oil","grade 3",101.293583254131,10.8
5,"crude oil","unconventional oil","grade 4",0,16.3
5,"natural gas","natural gas","grade 1",4.97047185986578,0.62
5,"natural gas","natural gas","grade 2",32.1423846937987,0.68
5,"natural gas","natural gas","grade 3",55.5036024351679,1.1
5,"natural gas","natural gas","grade 4",122.439290148027,1.7
5,"natural gas","natural gas","grade 5",118.628595055463,3.1
5,"natural gas","natural gas","grade 6",221.848727345343,3.7
5,"natural gas","natural gas","grade 7",710.114746379491,6.5
5,"natural gas","natural gas","grade 8",0,16.6
6,"coal","coal","grade 1",57,0.34
6,"coal","coal","grade 2",1186,0.37
6,"coal","coal","grade 3",1753,1.2
6,"coal","coal","grade 4",2491,1.7
6,"coal","coal","grade 5",3414,2
6,"coal","coal","grade 6",3414,2.3
6,"coal","coal","grade 7",0,2.6
6,"crude oil","crude oil","grade 1",18,0.5
6,"crude oil","crude oil","grade 2",5,0.55
6,"crude oil","crude oil","grade 3",15,0.92
6,"crude oil","crude oil","grade 4",16,1.3
6,"crude oil","crude oil","grade 5",9,2.1
6,"crude oil","crude oil","grade 6",12,2.7
6,"crude oil","crude oil","grade 7",0,3.5
6,"crude oil","unconventional oil","grade 1",1320,1.8
6,"crude oil","unconventional oil","grade 2",2578,3.3
6,"crude oil","unconventional oil","grade 3",701.64,10.8
6,"crude oil","unconventional oil","grade 4",0,16.3
6,"natural gas","natural gas","grade 1",10,0.62
6,"natural gas","natural gas","grade 2",67,0.68
6,"natural gas","natural gas","grade 3",46,1.1
6,"natural gas","natural gas","grade 4",99,1.7
6,"natural gas","natural gas","grade 5",478,3.1
6,"natural gas","natural gas","grade 6",893,3.7
6,"natural gas","natural gas","grade 7",11508,6.5
6,"natural gas","natural gas","grade 8",0,16.6
7,"coal","coal","grade 1",0.703141112995569,0.34
7,"coal","coal","grade 2",7.41494264613509,0.37
7,"coal","coal","grade 3",9.20475638830563,1.2
7,"coal","coal","grade 4",13.1039934694629,1.7
7,"coal","coal","grade 5",17.8981374217054,2
7,"coal","coal","grade 6",17.8981374217054,2.3
7,"coal","coal","grade 7",0,2.6
7,"crude oil","crude oil","grade 1",30.9062533853962,0.5
7,"crude oil","crude oil","grade 2",39.1200774833168,0.55
7,"crude oil","crude oil","grade 3",32.0199922461312,0.92
7,"crude oil","crude oil","grade 4",63.9007671346706,1.3
7,"crude oil","crude oil","grade 5",48.1692057267887,2.1
7,"crude oil","crude oil","grade 6",66.1282448561406,2.7
7,"crude oil","crude oil","grade 7",0,3.5
7,"crude oil","unconventional oil","grade 1",418.208942205992,1.8
7,"crude oil","unconventional oil","grade 2",817.623541137081,3.3
7,"crude oil","unconventional oil","grade 3",222.449847001753,10.8
7,"crude oil","unconventional oil","grade 4",0,16.3
7,"natural gas","natural gas","grade 1",2.76467273877706,0.62
7,"natural gas","natural gas","grade 2",17.6341288203077,0.68
7,"natural gas","natural gas","grade 3",27.7961691574342,1.1
7,"natural gas","natural gas","grade 4",58.5064528233091,1.7
7,"natural gas","natural gas","grade 5",53.5001535395776,3.1
7,"natural gas","natural gas","grade 6",100.051264789797,3.7
7,"natural gas","natural gas","grade 7",3821.89853826237,6.5
7,"natural gas","natural gas","grade 8",0,16.6
8,"coal","coal","grade 1",20,0.34
8,"coal","coal","grade 2",293,0.37
8,"coal","coal","grade 3",293,1.2
8,"coal","coal","grade 4",415,1.7
8,"coal","coal","grade 5",569,2
8,"coal","coal","grade 6",569,2.3
8,"coal","coal","grade 7",0,2.6
8,"crude oil","crude oil","grade 1",55,0.5
8,"crude oil","crude oil","grade 2",115,0.55
8,"crude oil","crude oil","grade 3",226.5,0.92
8,"crude oil","crude oil","grade 4",235.5,1.3
8,"crude oil","crude oil","grade 5",216,2.1
8,"crude oil","crude oil","grade 6",314,2.7
8,"crude oil","crude oil","grade 7",0,3.5
8,"crude oil","unconventional oil","grade 1",803,1.8
8,"crude oil","unconventional oil","grade 2",1570,3.3
8,"crude oil","unconventional oil","grade 3",427.14,10.8
8,"crude oil","unconventional oil","grade 4",0,16.3
8,"natural gas","natural gas","grade 1",44,0.62
8,"natural gas","natural gas","grade 2",279,0.68
8,"natural gas","natural gas","grade 3",119,1.1
8,"natural gas","natural gas","grade 4",279,1.7
8,"natural gas","natural gas","grade 5",478,3.1
8,"natural gas","natural gas","grade 6",893,3.7
8,"natural gas","natural gas","grade 7",20005,6.5
8,"natural gas","natural gas","grade 8",0,16.6
9,"coal","coal","grade 1",0.000599119014238004,0.34
9,"coal","coal","grade 2",0.00677327649953749,0.37
9,"coal","coal","grade 3",0.00820107119496692,1.2
9,"coal","coal","grade 4",0.0116728763519411,1.7
9,"coal","coal","grade 5",0.0159488774367429,2
9,"coal","coal","grade 6",0.0159488774367429,2.3
9,"coal","coal","grade 7",0,2.6
9,"crude oil","crude oil","grade 1",4.99853052802907,0.5
9,"crude oil","crude oil","grade 2",6.32678042993779,0.55
9,"crude oil","crude oil","grade 3",5.17936233876043,0.92
9,"crude oil","crude oil","grade 4",10.3341905729608,1.3
9,"crude oil","crude oil","grade 5",7.78995574696434,2.1
9,"crude oil","crude oil","grade 6",10.6944322148042,2.7
9,"crude oil","crude oil","grade 7",0,3.5
9,"crude oil","unconventional oil","grade 1",67.6398056689623,1.8
9,"crude oil","unconventional oil","grade 2",132.239891600699,3.3
9,"crude oil","unconventional oil","grade 3",35.978345508539,10.8
9,"crude oil","unconventional oil","grade 4",0,16.3
9,"natural gas","natural gas","grade 1",5.12771591117533,0.62
9,"natural gas","natural gas","grade 2",32.7065101154285,0.68
9,"natural gas","natural gas","grade 3",51.5536028497211,1.1
9,"natural gas","natural gas","grade 4",108.512108112148,1.7
9,"natural gas","natural gas","grade 5",99.2266062160865,3.1
9,"natural gas","natural gas","grade 6",185.5648398438,3.7
9,"natural gas","natural gas","grade 7",7088.4390233371,6.5
9,"natural gas","natural gas","grade 8",0,16.6
10,"coal","coal","grade 1",28.0937065257542,0.34
10,"coal","coal","grade 2",1492.70319545152,0.37
10,"coal","coal","grade 3",2585.95017533134,1.2
10,"coal","coal","grade 4",3674.78573496459,1.7
10,"coal","coal","grade 5",5035.75843133116,2
10,"coal","coal","grade 6",5035.75843133116,2.3
10,"coal","coal","grade 7",0,2.6
10,"crude oil","crude oil","grade 1",46.762187277248,0.5
10,"crude oil","crude oil","grade 2",54.7933231689042,0.55
10,"crude oil","crude oil","grade 3",111.122935901681,0.92
10,"crude oil","crude oil","grade 4",108.39987275578,1.3
