region,year,variable,unit,value
USA,1975,GDP,million 1990$,3618130.0
USA,1975,energy-investment,million 1990$,40810.6
USA,1975,consumer-durable,million 1990$,0.141933
USA,1975,value-added,million 1990$,3129560.0
USA,1975,gross-output,million 1990$,3618140.0
USA,1975,savings,million 1990$,507559.0
USA,1975,investment,million 1990$,546375.0
USA,1975,capital-stock,million 1990$,12638400.0
USA,1975,depreciation,million 1990$,452443.0
USA,1975,energy-service-value,million 1990$,488581.0
USA,1975,energy-net-export,million 1990$,-2.129
USA,1975,materials-net-export,million 1990$,-38813.5
USA,1975,capital-net-export,million 1990$,38815.6
USA,1975,labor-wages,million 1990$,2263360.0
USA,1975,gdp-per-capita,thous 1990$ percap,16.8813
USA,1975,gdp-per-capita-ppp,thous 1990$ percap,15.979
USA,1975,labor-force,thous pers,88314.5
USA,1975,population,thous pers,214328.0
USA,1975,savings-rate,rate annual,0.140282
USA,1975,fac-share-labor,share,0.62556
USA,1975,fac-share-capital,share,0.239403
USA,1975,fac-share-energy,share,0.135037
USA,1975,energy-service,million 1990$,2.129
USA,1975,total-factor-productivity,million 1990$,0.0
USA,1990,GDP,million 1990$,6006860.0
USA,1990,energy-investment,million 1990$,86145.0
USA,1990,consumer-durable,million 1990$,217090.0
USA,1990,value-added,million 1990$,5250610.0
USA,1990,gross-output,million 1990$,6054860.0
USA,1990,savings,million 1990$,507559.0
USA,1990,investment,million 1990$,601609.0
USA,1990,capital-stock,million 1990$,19436800.0
USA,1990,depreciation,million 1990$,452443.0
USA,1990,energy-service-value,million 1990$,804249.0
USA,1990,energy-net-export,million 1990$,-48005.6
USA,1990,materials-net-export,million 1990$,-46044.2
USA,1990,capital-net-export,million 1990$,94049.8
USA,1990,labor-wages,million 1990$,3695400.0
USA,1990,gdp-per-capita,thous 1990$ percap,23.8625
USA,1990,gdp-per-capita-ppp,thous 1990$ percap,22.587
USA,1990,labor-force,thous pers,122855.0
USA,1990,population,thous pers,251728.0
USA,1990,savings-rate,rate annual,0.176343
USA,1990,fac-share-labor,share,0.61032
USA,1990,fac-share-capital,share,0.256853
USA,1990,fac-share-energy,share,0.132827
USA,1990,energy-service,million 1990$,1770890.0
USA,1990,total-factor-productivity,million 1990$,0.0
USA,2005,GDP,million 1990$,9552960.0
USA,2005,energy-investment,million 1990$,175231.0
USA,2005,consumer-durable,million 1990$,291656.0
USA,2005,value-added,million 1990$,7940310.0
USA,2005,gross-output,million 1990$,9680690.0
USA,2005,savings,million 1990$,1276360.0
USA,2005,investment,million 1990$,1928270.0
USA,2005,capital-stock,million 1990$,28439000.0
USA,2005,depreciation,million 1990$,724313.0
USA,2005,energy-service-value,million 1990$,1740380.0
USA,2005,energy-net-export,million 1990$,-127726.0
USA,2005,materials-net-export,million 1990$,-524186.0
USA,2005,capital-net-export,million 1990$,651912.0
USA,2005,labor-wages,million 1990$,5785610.0
USA,2005,gdp-per-capita,thous 1990$ percap,31.7633
USA,2005,gdp-per-capita-ppp,thous 1990$ percap,30.0655
USA,2005,labor-force,thous pers,145276.0
USA,2005,population,thous pers,300755.0
USA,2005,savings-rate,rate annual,0.172598
USA,2005,fac-share-labor,share,0.597645
USA,2005,fac-share-capital,share,0.222577
USA,2005,fac-share-energy,share,0.179779
USA,2005,energy-service,million 1990$,2306810.0
USA,2005,total-factor-productivity,million 1990$,0.0
USA,2010,GDP,million 1990$,10024200.0
USA,2010,energy-investment,million 1990$,164834.0
USA,2010,consumer-durable,million 1990$,297402.0
