region,year,population_thous
USA,1975,214328.0
USA,1990,251728.0
USA,2005,300755.0
USA,2010,315007.0
USA,2015,328208.0
USA,2021,340354.0
USA,2025,345517.0
USA,2030,353058.0
USA,2035,360456.0
USA,2040,367421.0
USA,2045,373815.0
USA,2050,379824.0
USA,2055,384968.0
USA,2060,389941.0
USA,2065,394779.0
USA,2070,399435.0
USA,2075,403542.0
USA,2080,406575.0
USA,2085,408306.0
USA,2090,408854.0
USA,2095,408567.0
USA,2100,407605.0
Africa_Eastern,1975,98409.0
Africa_Eastern,1990,151062.0
Africa_Eastern,2005,230484.0
Africa_Eastern,2010,266642.0
Africa_Eastern,2015,304443.0
Africa_Eastern,2021,355355.0
Africa_Eastern,2025,391100.0
Africa_Eastern,2030,438024.0
Africa_Eastern,2035,485635.0
Africa_Eastern,2040,532794.0
Africa_Eastern,2045,578897.0
Africa_Eastern,2050,623428.0
Africa_Eastern,2055,665230.0
Africa_Eastern,2060,704017.0
Africa_Eastern,2065,738606.0
Africa_Eastern,2070,768862.0
Africa_Eastern,2075,793943.0
Africa_Eastern,2080,814205.0
Africa_Eastern,2085,830143.0
Africa_Eastern,2090,842266.0
Africa_Eastern,2095,850642.0
Africa_Eastern,2100,855535.0
Africa_Northern,1975,79953.0
Africa_Northern,1990,120159.0
Africa_Northern,2005,159029.0
Africa_Northern,2010,173374.0
Africa_Northern,2015,190189.0
Africa_Northern,2021,210081.0
Africa_Northern,2025,222993.0
Africa_Northern,2030,238346.0
Africa_Northern,2035,253020.0
Africa_Northern,2040,267277.0
Africa_Northern,2045,280708.0
Africa_Northern,2050,292805.0
Africa_Northern,2055,303162.0
Africa_Northern,2060,311731.0
Africa_Northern,2065,318383.0
Africa_Northern,2070,323405.0
Africa_Northern,2075,327298.0
Africa_Northern,2080,330277.0
Africa_Northern,2085,332354.0
Africa_Northern,2090,333628.0
Africa_Northern,2095,333848.0
Africa_Northern,2100,332951.0
Africa_Southern,1975,52620.0
Africa_Southern,1990,84042.0
Africa_Southern,2005,122552.0
Africa_Southern,2010,140212.0
Africa_Southern,2015,162696.0
Africa_Southern,2021,194118.0
Africa_Southern,2025,215688.0
Africa_Southern,2030,244055.0
Africa_Southern,2035,273381.0
Africa_Southern,2040,303131.0
Africa_Southern,2045,332760.0
Africa_Southern,2050,361618.0
Africa_Southern,2055,388966.0
Africa_Southern,2060,414621.0
Africa_Southern,2065,438016.0
Africa_Southern,2070,458830.0
Africa_Southern,2075,476989.0
Africa_Southern,2080,491948.0
Africa_Southern,2085,503434.0
Africa_Southern,2090,511665.0
Africa_Southern,2095,517324.0
Africa_Southern,2100,520771.0
Africa_Western,1975,160687.0
Africa_Western,1990,242847.0
Africa_Western,2005,366537.0
Africa_Western,2010,422911.0
Africa_Western,2015,487548.0
Africa_Western,2021,574303.0
Africa_Western,2025,637591.0
Africa_Western,2030,723488.0
Africa_Western,2035,815076.0
Africa_Western,2040,911381.0
Africa_Western,2045,1010580.0
Africa_Western,2050,1110720.0
Africa_Western,2055,1209160.0
Africa_Western,2060,1304450.0
Africa_Western,2065,1395550.0
Africa_Western,2070,1481360.0
Africa_Western,2075,1560780.0
Africa_Western,2080,1632350.0
Africa_Western,2085,1695070.0
Africa_Western,2090,1748160.0
Africa_Western,2095,1790820.0
Africa_Western,2100,1823070.0
Australia_NZ,1975,16982.0
Australia_NZ,1990,20445.0
Australia_NZ,2005,24305.0
Australia_NZ,2010,26366.0
Australia_NZ,2015,28411.0
Australia_NZ,2021,31051.0
Australia_NZ,2025,31999.0
Australia_NZ,2030,33135.0
Australia_NZ,2035,34189.0
Australia_NZ,2040,35181.0
Australia_NZ,2045,36154.0
Australia_NZ,2050,37135.0
Australia_NZ,2055,38039.0
Australia_NZ,2060,38872.0
Australia_NZ,2065,39592.0
Australia_NZ,2070,40214.0
Australia_NZ,2075,40732.0
Australia_NZ,2080,41128.0
Australia_NZ,2085,41369.0
Australia_NZ,2090,41451.0
Australia_NZ,2095,41406.0
Australia_NZ,2100,41268.0
