region,resource,subresource,year,production_ej
USA,uranium,uranium,1990,0.0516415
USA,uranium,uranium,2005,0.0710144
USA,uranium,uranium,2010,0.0707141
USA,uranium,uranium,2015,0.0659356
USA,uranium,uranium,2021,0.0720444
USA,uranium,uranium,2025,0.0699636
USA,uranium,uranium,2030,0.0701042
USA,uranium,uranium,2035,0.0717805
USA,uranium,uranium,2040,0.0735876
USA,uranium,uranium,2045,0.0745201
USA,uranium,uranium,2050,0.0799861
USA,uranium,uranium,2055,0.0828345
USA,uranium,uranium,2060,0.0864095
USA,uranium,uranium,2065,0.0911257
USA,uranium,uranium,2070,0.0975572
USA,uranium,uranium,2075,0.103876
USA,uranium,uranium,2080,0.110521
USA,uranium,uranium,2085,0.122408
USA,uranium,uranium,2090,0.12969
USA,uranium,uranium,2095,0.133878
USA,uranium,uranium,2100,0.136313
Africa_Northern,onshore carbon-storage,onshore carbon-storage,2030,8.92477e-07
Africa_Northern,onshore carbon-storage,onshore carbon-storage,2035,3.13727e-06
Africa_Northern,onshore carbon-storage,onshore carbon-storage,2040,6.66329e-06
Africa_Northern,onshore carbon-storage,onshore carbon-storage,2045,1.08905e-05
Africa_Northern,onshore carbon-storage,onshore carbon-storage,2050,1.61097e-05
Africa_Northern,onshore carbon-storage,onshore carbon-storage,2055,2.04232e-05
Africa_Northern,onshore carbon-storage,onshore carbon-storage,2060,2.36064e-05
Africa_Northern,onshore carbon-storage,onshore carbon-storage,2065,2.58556e-05
Africa_Northern,onshore carbon-storage,onshore carbon-storage,2070,2.73939e-05
Africa_Northern,onshore carbon-storage,onshore carbon-storage,2075,2.8495e-05
Africa_Northern,onshore carbon-storage,onshore carbon-storage,2080,2.93545e-05
Africa_Northern,onshore carbon-storage,onshore carbon-storage,2085,2.98924e-05
Africa_Northern,onshore carbon-storage,onshore carbon-storage,2090,3.01929e-05
Africa_Northern,onshore carbon-storage,onshore carbon-storage,2095,3.0232e-05
Africa_Northern,onshore carbon-storage,onshore carbon-storage,2100,3.00467e-05
Central America and Caribbean,onshore carbon-storage,onshore carbon-storage,2025,1.5122e-08
Central America and Caribbean,onshore carbon-storage,onshore carbon-storage,2030,1.38335e-07
Central America and Caribbean,onshore carbon-storage,onshore carbon-storage,2035,5.13835e-07
Central America and Caribbean,onshore carbon-storage,onshore carbon-storage,2040,1.25055e-06
Central America and Caribbean,onshore carbon-storage,onshore carbon-storage,2045,2.28075e-06
Central America and Caribbean,onshore carbon-storage,onshore carbon-storage,2050,3.59057e-06
Central America and Caribbean,onshore carbon-storage,onshore carbon-storage,2055,4.70955e-06
Central America and Caribbean,onshore carbon-storage,onshore carbon-storage,2060,5.61941e-06
Central America and Caribbean,onshore carbon-storage,onshore carbon-storage,2065,6.32956e-06
Central America and Caribbean,onshore carbon-storage,onshore carbon-storage,2070,6.8216e-06
Central America and Caribbean,onshore carbon-storage,onshore carbon-storage,2075,7.15248e-06
Central America and Caribbean,onshore carbon-storage,onshore carbon-storage,2080,7.38198e-06
Central America and Caribbean,onshore carbon-storage,onshore carbon-storage,2085,7.4707e-06
Central America and Caribbean,onshore carbon-storage,onshore carbon-storage,2090,7.43383e-06
Central America and Caribbean,onshore carbon-storage,onshore carbon-storage,2095,7.25749e-06
Central America and Caribbean,onshore carbon-storage,onshore carbon-storage,2100,6.95961e-06
Europe_Non_EU,onshore carbon-storage,onshore carbon-storage,2025,1.02561e-07
Europe_Non_EU,onshore carbon-storage,onshore carbon-storage,2030,1.92157e-07
Europe_Non_EU,onshore carbon-storage,onshore carbon-storage,2035,4.90229e-07
Europe_Non_EU,onshore carbon-storage,onshore carbon-storage,2040,1.40297e-06
Europe_Non_EU,onshore carbon-storage,onshore carbon-storage,2045,2.64521e-06
Europe_Non_EU,onshore carbon-storage,onshore carbon-storage,2050,3.19692e-06
Europe_Non_EU,onshore carbon-storage,onshore carbon-storage,2055,3.42141e-06
Europe_Non_EU,onshore carbon-storage,onshore carbon-storage,2060,3.88792e-06
Europe_Non_EU,onshore carbon-storage,onshore carbon-storage,2065,4.30156e-06
Europe_Non_EU,onshore carbon-storage,onshore carbon-storage,2070,4.45963e-06
Europe_Non_EU,onshore carbon-storage,onshore carbon-storage,2075,4.38158e-06
Europe_Non_EU,onshore carbon-storage,onshore carbon-storage,2080,4.2904e-06
Europe_Non_EU,onshore carbon-storage,onshore carbon-storage,2085,4.25094e-06
Europe_Non_EU,onshore carbon-storage,onshore carbon-storage,2090,4.18491e-06
Europe_Non_EU,onshore carbon-storage,onshore carbon-storage,2095,4.04987e-06
Europe_Non_EU,onshore carbon-storage,onshore carbon-storage,2100,3.87536e-06
Mexico,onshore carbon-storage,onshore carbon-storage,2030,2.63935e-06
