Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Capacity|Electricity,GW,1207.62010431012,1637.02857615817,2359.99527644349,3192.61925421502,3973.95108597549,4576.209777447671,5027.253175254121,5225.4288398982,5180.21927323742,4953.828227999989
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Capacity|Electricity|Biomass,GW,3.32077189561137,13.2189433108194,32.251667380137,58.5646203148782,82.4437345811137,99.8375803050482,114.917298722095,126.6331669362,122.982053565766,104.442075445523
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Capacity|Electricity|Coal,GW,643.797682410579,965.0606796201172,1220.7661178098,1379.79266354325,1433.85027742104,1449.05810074201,1461.20696109209,1205.55104444127,954.911927241882,716.500873208397
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Capacity|Electricity|Gas,GW,155.245738203957,249.709286371131,366.333229642314,476.304962423896,541.554677717529,503.725373985286,435.7640792110601,366.114370655759,288.135203671994,237.085838248351
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Capacity|Electricity|Nuclear,GW,37.580035514967,35.250716359434,33.9064155603472,31.4122932873894,28.0937230114437,26.1829735681267,25.2372855008738,28.8097011880603,29.1044068154913,26.4264018899036
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Capacity|Electricity|Oil,GW,196.573617453069,87.60664217085241,114.857149250063,109.735888944381,76.84367667110601,62.9873796613395,54.54692755898021,51.2807299197742,44.1304067573567,31.34138488552761
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Capacity|Electricity|Solar,GW,1.143816590563159,55.0237855661119,192.563967567637,514.6614519406639,1015.028101400431,1581.82183464333,2076.46059325613,2470.08130859616,2709.70970532826,2819.99966917039
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Capacity|Electricity|Wind,GW,18.0612255683603,55.68061263318111,191.332759523967,384.513670849602,531.08844926973,563.249361708313,551.07392014946,648.5221036664277,688.225057902081,675.887170218163
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Emissions|CH4,Mt CH4/yr,164.683437773,148.662549608,157.624348617,166.503041185,168.443591786,165.2802477,157.764182992,144.957743701,132.836764824,116.958367639
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Emissions|CH4|Energy,Mt CH4/yr,58.96663390000001,41.843355302,45.91973728600001,50.146085703,48.363657703,46.82766394300001,45.564992085,41.225533381,38.833347343,33.898399654
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Emissions|CO2,Mt CO2/yr,15069.2826838856,16685.1449777479,20423.1008491178,22919.5072970278,23328.9237691502,23163.1915389888,22098.6098912657,19046.169422797,15952.1477878341,13025.208517607
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Emissions|CO2|AFOLU,Mt CO2/yr,1363.61447697567,-1091.569736235,-1248.59084051167,-1075.94210002767,-1119.681309197,-823.940723954334,-709.193230999,-686.575943500333,-727.7257166080002,-774.0999732986659
