Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Capacity|Electricity,GW,870.5189999999999,1069.5501,1620.3924,2260.1024,2832.4168,3469.5272,3919.4126,4271.526,4573.544,4886.7719,5208.5894
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Capacity|Electricity|Biomass,GW,2.6481,2.7789,3.1973,4.1439,8.0816,20.9941,42.0662,75.4801,114.8557,154.4198,208.4842
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Capacity|Electricity|Coal,GW,523.7131,643.8902,955.4994,1405.4829,1813.2229,2238.6564,2561.0378,2855.1549,3085.4623,3313.5861,3509.7673
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Capacity|Electricity|Gas,GW,81.9444,95.89,126.9646,176.7848,220.6335,262.8321,272.0669,271.4708,268.6246,252.9887,259.4199
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Capacity|Electricity|Hydro,GW,174.6393,221.6571,344.7455,415.8481,508.6917,671.9429,750.4705,750.4705,750.4705,750.4705,750.4705
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Capacity|Electricity|Nuclear,GW,41.6659,52.0248,117.4131,162.2561,166.0634,142.2447,138.0899,133.5935,127.2199,121.1171,121.4877
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Capacity|Electricity|Oil,GW,40.3754,47.5251,64.0979,79.2075,90.1755,95.4094,92.4389,95.1242,100.2952,111.3288,96.3342
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Capacity|Electricity|Solar,GW,0.0656,0.127,0.4607,2.3148,6.2091,13.4828,25.556,37.7588,53.7792,78.2802,113.2066
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Capacity|Electricity|Wind,GW,2.7573,2.708,4.47,9.7446,14.1269,18.0198,31.1364,45.357,65.1383,96.2856,140.4718
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Emissions|CH4,Mt CH4/yr,142.3873,154.8613,180.7813,202.7211,217.0309,228.9005,239.5969,249.7602,260.0154,270.7587,283.1387
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Emissions|CH4|Energy,Mt CH4/yr,43.383,45.5827,51.0097,56.229,59.631,63.2436,67.2183,71.4347,75.7402,80.4072,85.944
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Emissions|CO2,Mt CO2/yr,11425.5834,12705.4661,17035.5224,20988.7515,23590.2873,25680.4046,27235.8555,28780.0849,30082.988,31457.8401,32788.3836
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Emissions|CO2|AFOLU,Mt CO2/yr,2439.911,2045.0166,1984.0663,1491.3786,1074.4777,777.7747,737.2401,705.3572,653.2864,676.9792,971.8778
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,8985.6725,10660.4494,15051.4562,19497.3728,22515.8095,24902.6299,26498.6154,28074.7277,29429.7015,30780.8608,31816.5058
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,3284.1122,3990.724,5779.8477,8282.8441,10425.4405,12501.2579,14001.3124,15338.7278,16351.3613,17318.4604,18117.8352
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Final Energy,EJ/yr,89.8817,103.5811,141.8117,176.5697,198.7042,214.1662,223.7234,233.6529,244.0221,254.6177,264.5744
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Final Energy|Electricity,EJ/yr,12.9217,15.8861,24.0937,34.3229,43.2837,52.7327,59.5008,65.2507,70.1373,74.9756,79.8177
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Final Energy|Gases,EJ/yr,4.8725000000000005,5.9883,9.5457,13.9659,17.546,21.4278,25.7894,29.5726,33.7762,37.2273,44.09
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Final Energy|Heat,EJ/yr,1.9807,2.5894,4.2311,6.1065,7.4675,8.4614,8.4813,8.3092,8.0026,7.6788,7.6363
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Final Energy|Industry,EJ/yr,43.3994,48.3489,64.8058,81.4076,93.0413,102.736,109.7964,117.2446,124.8229,132.3671,140.2235
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Final Energy|Liquids,EJ/yr,26.6142,32.5155,47.9195,57.4197,60.7848,58.6931,55.0186,53.3003,52.7207,52.7737,48.5884
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Final Energy|Residential and Commercial,EJ/yr,36.8028,42.307,55.4417,66.2115,72.1385,75.3802,76.3936,77.1756,78.0131,78.8201,79.7131
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Final Energy|Solids,EJ/yr,42.95399999999999,45.8118,54.4953,62.3671,66.5744,69.3034,71.0271,73.0688,75.0781,77.5318,80.0398
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Final Energy|Solids|Biomass,EJ/yr,23.5305,24.5063,27.2183,30.1875,32.36199999999999,34.1354,35.6508,37.1834,38.8373,40.5954,42.5367
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Final Energy|Solids|Coal,EJ/yr,19.4235,21.3056,27.277,32.1795,34.2126,35.1682,35.3763,35.8854,36.241,36.9364,37.5033
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Final Energy|Transportation,EJ/yr,9.6795,12.9252,21.5643,28.9507,33.5245,36.0502,37.5334,39.2326,41.1862,43.4304,44.6378
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Final Energy|Transportation|Electricity,EJ/yr,0.1398,0.1799,0.294,0.485,0.8499,1.6354000000000002,2.8684000000000003,4.332,5.8065,7.2671,8.7756
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Final Energy|Transportation|Liquids,EJ/yr,8.9314,11.8689,19.6105,25.8845,29.3902,30.5837,30.4361,30.4341,30.7915,31.5086,31.2245
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Population,million,3472.0678,3657.7622,4037.7836,4392.6516,4674.2948,4909.6385,5089.8331,5231.6782,5367.3544,5511.3096,5668.6748
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Primary Energy,EJ/yr,127.1354,147.6404,203.9624,261.0099,301.0495,333.5328,356.325,378.899,399.9012,421.0443,440.1026
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Primary Energy|Biomass,EJ/yr,23.6708,24.693,27.5964,30.9469,33.831,36.9884,40.491,44.6634,49.3073,54.2092,60.7185
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Primary Energy|Coal,EJ/yr,59.1522,69.4412,97.4874,131.2865,157.1141,180.8653,198.5659,215.0774,227.889,240.8132,251.4293
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Primary Energy|Fossil,EJ/yr,100.2528,118.9083,169.2967,221.0202,256.8244,284.5026,302.6484,320.8924,337.0465,352.8919,364.6831
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Primary Energy|Gas,EJ/yr,9.9576,11.773,16.9942,24.0582,29.9238,35.9619,40.7699,44.4555,48.4335,51.0692,58.3512
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Primary Energy|Nuclear,EJ/yr,0.9199,1.1486,2.5921000000000003,3.5819,3.666,3.1402,3.0485,2.9492000000000003,2.8086,2.6738,2.6819
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Primary Energy|Oil,EJ/yr,31.1433,37.6943,54.8151,65.6754,69.7863,67.6756,63.3126,61.3595,60.7241,61.0094,54.9027
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity,EJ/yr,15.8804,19.45,29.4377,41.3802,51.7439,62.7738,70.6213,77.1277,82.6106,88.0948,93.5692
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Biomass,EJ/yr,0.0585,0.0613,0.0705,0.0915,0.1784,0.4635,0.9287,1.6663,2.5355,3.409,4.6025
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,0.0585,0.0613,0.0705,0.0915,0.1784,0.4635,0.9287,1.6663,2.5355,3.409,4.6025
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Coal,EJ/yr,9.9097,12.1837,18.0802,26.5947,34.3101,42.3602,48.4603,54.0257,58.3835,62.7001,66.4123
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,9.9097,12.1837,18.0802,26.5947,34.3101,42.3602,48.4603,54.0257,58.3835,62.7001,66.4123
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Gas,EJ/yr,1.8089,2.1169,2.8029,3.9027,4.8707,5.8022,6.0061,5.992999999999999,5.9301,5.585,5.7269
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,1.8089,2.1169,2.8029,3.9027,4.8707,5.8022,6.0061,5.992999999999999,5.9301,5.585,5.7269
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Geothermal,EJ/yr,0.0598,0.0651,0.0782,0.0954,0.1151,0.1312,0.1446,0.1571,0.17,0.1831,0.1975
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Hydro,EJ/yr,2.2031,2.7962,4.3489,5.2457,6.417000000000002,8.4765,9.4671,9.4671,9.4671,9.4671,9.4671
